top_fruit_veg_wasted
Salad leaves (bagged)
Bananas
Lettuce (whole)
Cucumber
Tomatoes
Carrots
Mushrooms
Potato
Grapes
Strawberries
Spinach
Apples
Oranges
Broccoli
Avocado
Celery
Raspberries
Onions
Cabbage
Blueberries
