id,country,total,substances,clothing,house_utilities,house_maintenance,health,transport,communications,recreation_culture,education,restaurants_hotels,food,beverages,miscellaneous,year
cyprus2021,Cyprus,15093.5,753.6,860.7,2635.6,867,402.3,1713,449.6,1065.4,530.6,2256,1854.4,205.9,1499.2,2021
latvia2021,Latvia,18689.5,1410,991,4234.7,834.5,945.4,2067.5,480.8,1621,273,852.2,3356.1,374.2,1249.2,2021
lithuania2021,Lithuania,32395.3,1882.2,1496.9,5075.9,2314.9,1843.6,4939.1,811.3,2450.8,201.3,1266.7,6174.1,496.1,3442.4,2021
luxembourg2021,Luxembourg,22929,2061.7,1061.4,5133.5,1569.1,953.9,3275,316.5,1472.1,223.2,1216.6,1927.6,267.9,3450.5,2021
hungary2021,Hungary,73407.9,5558.7,2427.8,16395.8,3906.3,2953.6,8526.7,1991.3,5471.7,1245.6,5253.2,11422.1,1806.4,6448.6,2021
malta2021,Malta,6587.3,269.1,357.7,1029.7,370,358,724,200.5,498.9,151.2,899,824.8,109.2,795.3,2021
netherlands2021,Netherlands,355383,12127,17735,90739,24335,12213,40991,8723,31253,2256,23253,41411,3665,46682,2021
austria2021,Austria,194235.9,7583.8,9762.8,49928.6,14197.5,7923.5,22327.9,3970.5,17520.8,1851.4,18114.6,18769.5,2277.6,20007.4,2021
poland2021,Poland,319482.7,20866,15268.2,61701.2,16151.4,22446.1,43527.4,7639.9,19375,2512.8,11509.7,52539.3,7979.5,37966.1,2021
portugal2021,Portugal,139821.1,4678.4,7722.5,26897.8,7180,8400.2,16682.7,3409.9,7137.8,2146,15685.8,23762.5,1480.7,14636.8,2021
romania2021,Romania,147003.8,9546.8,9188.7,26399.4,11222.3,10097.6,16636.1,5038.8,9033.3,1808.5,5227.9,34608.5,1874.7,6321,2021
slovenia2021,Slovenia,27174.3,1268.9,1520.2,5229.9,1515.7,1171.5,4659.1,807.3,2182.4,332.6,1710.5,3514.9,393.6,2867.8,2021
